対象日   : 0:受注日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象日付 : 2026年07月19日 ～ 2026年08月19日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
受注NO,製品原反,行NO,受注日,指定納期,出荷予定日,今回経理締日付,受注区分,預り区分,初期値取引区分,部門,部門名,担当者,担当者名,得意先,得意先略称,得意先名1,得意先名2,得意先郵便番号,得意先住所1,得意先住所2,得意先住所3,得意先TEL,得意先FAX,納品先,納品先略称,納品先名1,納品先名2,納品先郵便番号,納品先住所1,納品先住所2,納品先住所3,納品先TEL,納品先FAX,出庫倉庫,出庫倉庫名,配送コース,配送コース名,グループ,グループ名,得意先名称入力区分,得意先敬称区分,納品先名称入力区分,納品先敬称区分,依頼NO,受注伝票種別,伝票備考,伝票メモ,伝票合計受注金額,伝票合計消費税額,受注出荷完了区分,受注売上完了区分,画面区分,税区分,計上区分,消費税算出処理区分,消費税算出単位区分,消費税端数処理桁数区,消費税端数処理区分,単価端数処理区分,金額端数処理区分,受注伝票発行フラグ,承認済フラグ,AEC注文番号,AEC連携フラグ,処理区分,拡張項目1,拡張項目2,拡張項目3,拡張項目4,拡張項目5,運送会社,運送会社名,時間指定,納品案内書発行区分,社内備考1,社内備考2,社内備考3,社内備考4,荷姿,工場受注伝票発行フラグ,加工区分,回答納期,例外区分,ユーザ,梱包仕様,梱包仕様名,パレット数,ラベル印字1,ラベル印字2,ラベル印字3,ラベル印字4,特記表示区分,商品特記事項,製造条件特記事項,加工内容,受注総数,原反投入総数,製品登録数,原反登録数,東レ特記事項,出荷時間,用途,用途名,ロットNO管理区分,原価金額,原価単価,数量,在庫場所,投入場所,投入場所名,受注金額,受注消費税額,受注数,受注単価,商品,種類,種類名,用途,用途名,詳細,詳細名,商品分類4,商品分類4名,商品分類5,商品分類5名,在庫分類,在庫分類名,経理分類,経理分類名,商品名1,商品名2,単位,名義区分,明細メモ,明細備考1,明細備考2,生産計画入力,加工完了,出荷日_開始日,出荷日_終了日,売上日_開始日,売上日_最終日,契約NO,投入日付,品名,登録者名,EC面指定,EC面指定名,トリミング,融着,本数
00081755,原反,001,2026/07/21,2026/07/31,2026/07/31,2026/07/31,0:通常,0:通常,01,505101,国分後加工511,000051,国分後加工,049006,東ﾚ(株) 自材部,,,,,,,,,,,,,,,,,,,511101,国分工場01本倉庫,0015,末締,01,東レ本体,0:しない,,,,T7-97,100,,,"21,744",0,1:完了,1:完了,0:通常,1:税抜,0,3:請求合計,1:金額,0:円未満,5:四捨五入,0:切り捨て,9:切り上げ,1:発行済,0:未承認,,0:しない,1:修正,,,,,,0051,国分,,,,,,,,,1:後加工,2026/07/31,1:通常,大吉プラスチック,,,0,,,,,0:1明細目,,熱風温度(上下)：夏季340℃、冬季350℃,融着,120.00,600,1,1,"傷品1本あり
ロット：67J5424",,50103,トーレペフ Y(工材),1:対象外,0,0.00,600.00,SG,1121,融着機,0,0,0.00,0.00,B1OA0AGA0100FBD,551,ペフ,55109,ﾍﾟﾌ　その他,,,,,,,000001,2製品,02,社外加工,30100-AG00-1000X100FA BK0C,,m,0:自社,,,,,,,,,,,2026/07/29,6710,河合 直樹,,,,0,6
00081756,製品,001,2026/07/21,2026/07/31,2026/07/31,2026/07/31,0:通常,0:通常,01,505101,国分後加工511,000051,国分後加工,049006,東ﾚ(株) 自材部,,,,,,,,,,,,,,,,,,,511101,国分工場01本倉庫,0015,末締,01,東レ本体,0:しない,,,,T7-96,100,,,"13,137",0,1:完了,1:完了,0:通常,1:税抜,0,3:請求合計,1:金額,0:円未満,5:四捨五入,0:切り捨て,9:切り上げ,1:発行済,0:未承認,,0:しない,1:修正,,,,,,0051,国分,,,,,,,,,1:後加工,2026/07/31,1:通常,大吉プラスチック,,,0,,,,,0:1明細目,,一次加工熱風温度上下：350℃　二次加工熱風温度夏季上340℃下360℃、冬季上350℃下370℃,融着,60.00,400,1,2,,,50103,トーレペフ Y(工材),1:対象外,0,0.00,60.00,,,,"13,137",0,60.00,218.95,A1OAD1382151YN1,551,ペフ,50103,トーレペフ Y(工材),,,999999,対象外,,,000001,2製品,02,社外加工,C4300-1399-820x151YA,,枚,0:自社,,,,済,済,2026/07/30,2026/07/30,2026/07/30,2026/07/30,189344S,,6713,河合 直樹,,,1:あり,4,0
00081756,原反,001,2026/07/21,2026/07/31,2026/07/31,2026/07/31,0:通常,0:通常,01,505101,国分後加工511,000051,国分後加工,049006,東ﾚ(株) 自材部,,,,,,,,,,,,,,,,,,,511101,国分工場01本倉庫,0015,末締,01,東レ本体,0:しない,,,,T7-96,100,,,"13,137",0,1:完了,1:完了,0:通常,1:税抜,0,3:請求合計,1:金額,0:円未満,5:四捨五入,0:切り捨て,9:切り上げ,1:発行済,0:未承認,,0:しない,1:修正,,,,,,0051,国分,,,,,,,,,1:後加工,2026/07/31,1:通常,大吉プラスチック,,,0,,,,,0:1明細目,,一次加工熱風温度上下：350℃　二次加工熱風温度夏季上340℃下360℃、冬季上350℃下370℃,融着,60.00,400,1,2,,,50103,トーレペフ Y(工材),1:対象外,0,0.00,200.00,SG,1121,融着機,0,0,0.00,0.00,B1OA0AGA0100FN1,551,ペフ,55109,ﾍﾟﾌ　その他,,,,,,,000001,2製品,02,社外加工,30100-AG00-1000X100FA    C,,m,0:自社,,,,,,,,,,,2026/07/29,6710,河合 直樹,,,,0,2
00081756,原反,002,2026/07/21,2026/07/31,2026/07/31,2026/07/31,0:通常,0:通常,01,505101,国分後加工511,000051,国分後加工,049006,東ﾚ(株) 自材部,,,,,,,,,,,,,,,,,,,511101,国分工場01本倉庫,0015,末締,01,東レ本体,0:しない,,,,T7-96,100,,,"13,137",0,1:完了,1:完了,0:通常,1:税抜,0,3:請求合計,1:金額,0:円未満,5:四捨五入,0:切り捨て,9:切り上げ,1:発行済,0:未承認,,0:しない,1:修正,,,,,,0051,国分,,,,,,,,,1:後加工,2026/07/31,1:通常,大吉プラスチック,,,0,,,,,0:1明細目,,一次加工熱風温度上下：350℃　二次加工熱風温度夏季上340℃下360℃、冬季上350℃下370℃,融着,60.00,400,1,2,,,50103,トーレペフ Y(工材),1:対象外,0,0.00,200.00,SG,1121,融着機,0,0,0.00,0.00,B1K50AAA0100FN1,551,ペフ,55110,ﾍﾟﾌ　新規,,,,,,,000003,4原材料,02,社外加工,20050-AA00-1000X100FA ,,m,0:自社,,,,,,,,,,,2026/07/29,6710,河合 直樹,,,,0,2
00081757,製品,001,2026/07/21,2026/07/31,2026/07/31,2026/07/31,0:通常,0:通常,01,505101,国分後加工511,000051,国分後加工,049006,東ﾚ(株) 自材部,,,,,,,,,,,,,,,,,,,511101,国分工場01本倉庫,,,01,東レ本体,0:しない,,,,T7-104,100,,,"3,000",0,1:完了,1:完了,0:通常,1:税抜,0,3:請求合計,1:金額,0:円未満,5:四捨五入,0:切り捨て,9:切り上げ,1:発行済,0:未承認,,0:しない,1:修正,,,,,,0051,国分,,,,,,,,,1:後加工,2026/07/31,1:通常,恵比寿化成,,,0,,,,,0:1明細目,,,分割,200.00,200,1,1,,,50103,トーレペフ Y(工材),1:対象外,0,0.00,200.00,,,,"3,000",0,200.00,15.00,A1OA0AGA0050FB4,551,ペフ,50103,トーレペフ Y(工材),,,999999,対象外,,,000001,2製品,02,社外加工,30100-AG00-1000X 50FA    C,,m,0:自社,,,,済,済,2026/07/30,2026/07/30,2026/07/30,2026/07/30,189614Z,,6710,河合 直樹,,,0:なし,0,0
00081757,原反,001,2026/07/21,2026/07/31,2026/07/31,2026/07/31,0:通常,0:通常,01,505101,国分後加工511,000051,国分後加工,049006,東ﾚ(株) 自材部,,,,,,,,,,,,,,,,,,,511101,国分工場01本倉庫,,,01,東レ本体,0:しない,,,,T7-104,100,,,"3,000",0,1:完了,1:完了,0:通常,1:税抜,0,3:請求合計,1:金額,0:円未満,5:四捨五入,0:切り捨て,9:切り上げ,1:発行済,0:未承認,,0:しない,1:修正,,,,,,0051,国分,,,,,,,,,1:後加工,2026/07/31,1:通常,恵比寿化成,,,0,,,,,0:1明細目,,,分割,200.00,200,1,1,,,50103,トーレペフ Y(工材),1:対象外,0,0.00,200.00,SG,1043,スリット機2,0,0,0.00,0.00,B1OA0AGA0050FB4,551,ペフ,55109,ﾍﾟﾌ　その他,,,,,,,000003,4原材料,02,社外加工,30100-AG00-1000X100FA C,,m,0:自社,,,,,,,,,,,2026/07/29,6710,河合 直樹,,,,0,2
00081758,製品,001,2026/07/21,2026/07/31,2026/07/31,2026/07/31,0:通常,0:通常,01,505101,国分後加工511,000051,国分後加工,049006,東ﾚ(株) 自材部,,,,,,,,,,,,,,,,,,,511101,国分工場01本倉庫,0015,末締,01,東レ本体,0:しない,,,,T7-109,100,,,"11,328",0,0:未完,0:未完,0:通常,1:税抜,0,3:請求合計,1:金額,0:円未満,5:四捨五入,0:切り捨て,9:切り上げ,1:発行済,0:未承認,,0:しない,1:修正,,,,,,0051,国分,,,,,,,,,1:後加工,2026/07/31,1:通常,中央物産,,,0,,,,,0:1明細目,"フラップ逆転方式
コロナ処理面を記載した用紙を同梱",接続：ベージュテープ50mm幅　ぬれ検査頻度：1回/5本　融着行き,"EC,融着",48.00,200,1,2,"フラップ逆転方式
24枚梱包
コロナ処理面を記載した用紙を同梱",,50103,トーレペフ Y(工材),1:対象外,0,0.00,48.00,,,,"11,328",0,48.00,236.00,A1OACJGA1200ZB4,551,ペフ,50103,トーレペフ Y(工材),,,999999,対象外,,,000001,2製品,02,社外加工,30200-JG00-1010x200ZABK0Q,,枚,0:自社,,,,済,済,2026/07/29,2026/07/29,2026/07/30,2026/07/30,189555Y,,6713,河合 直樹,02,Ｑ面,0:なし,0,0
00081758,原反,001,2026/07/21,2026/07/31,2026/07/31,2026/07/31,0:通常,0:通常,01,505101,国分後加工511,000051,国分後加工,049006,東ﾚ(株) 自材部,,,,,,,,,,,,,,,,,,,511101,国分工場01本倉庫,0015,末締,01,東レ本体,0:しない,,,,T7-109,100,,,"11,328",0,0:未完,0:未完,0:通常,1:税抜,0,3:請求合計,1:金額,0:円未満,5:四捨五入,0:切り捨て,9:切り上げ,1:発行済,0:未承認,,0:しない,1:修正,,,,,,0051,国分,,,,,,,,,1:後加工,2026/07/31,1:通常,中央物産,,,0,,,,,0:1明細目,"フラップ逆転方式
コロナ処理面を記載した用紙を同梱",接続：ベージュテープ50mm幅　ぬれ検査頻度：1回/5本　融着行き,"EC,融着",48.00,200,1,2,"フラップ逆転方式
24枚梱包
コロナ処理面を記載した用紙を同梱",,50103,トーレペフ Y(工材),1:対象外,0,0.00,100.00,SG,1021,EC,0,0,0.00,0.00,B1OA0AGA5100FBD,551,ペフ,55109,ﾍﾟﾌ　その他,,,,,,,000001,2製品,02,社外加工,30100-AG00-1050X100FA BK0M,,m,0:自社,,,,,,,,,,,2026/07/27,6710,河合 直樹,,,,0,1
00081758,原反,002,2026/07/21,2026/07/31,2026/07/31,2026/07/31,0:通常,0:通常,01,505101,国分後加工511,000051,国分後加工,049006,東ﾚ(株) 自材部,,,,,,,,,,,,,,,,,,,511101,国分工場01本倉庫,0015,末締,01,東レ本体,0:しない,,,,T7-109,100,,,"11,328",0,0:未完,0:未完,0:通常,1:税抜,0,3:請求合計,1:金額,0:円未満,5:四捨五入,0:切り捨て,9:切り上げ,1:発行済,0:未承認,,0:しない,1:修正,,,,,,0051,国分,,,,,,,,,1:後加工,2026/07/31,1:通常,中央物産,,,0,,,,,0:1明細目,"フラップ逆転方式
コロナ処理面を記載した用紙を同梱",接続：ベージュテープ50mm幅　ぬれ検査頻度：1回/5本　融着行き,"EC,融着",48.00,200,1,2,"フラップ逆転方式
24枚梱包
コロナ処理面を記載した用紙を同梱",,50103,トーレペフ Y(工材),1:対象外,0,0.00,100.00,SG,1121,融着機,0,0,0.00,0.00,B1OA0AGA5100FBD,551,ペフ,55109,ﾍﾟﾌ　その他,,,,,,,000001,2製品,02,社外加工,30100-AG00-1050X100FA BK0M,,m,0:自社,,,,,,,,,,,2026/07/27,6710,河合 直樹,,,,0,1
00081759,製品,001,2026/07/21,2026/07/31,2026/07/31,2026/07/31,0:通常,0:通常,01,505101,国分後加工511,000051,国分後加工,049006,東ﾚ(株) 自材部,,,,,,,,,,,,,,,,,,,511101,国分工場01本倉庫,0015,末締,01,東レ本体,0:しない,,,,T7-106,100,,,"22,845",0,0:未完,0:未完,0:通常,1:税抜,0,3:請求合計,1:金額,0:円未満,5:四捨五入,0:切り捨て,9:切り上げ,1:発行済,0:未承認,,0:しない,1:修正,,,,,,0051,国分,,,,,,,,,1:後加工,2026/07/31,1:通常,中央物産,,,0,,,,,0:1明細目,"フラップ逆転方式
10mm原反のＱ面にＥＣ加工(No2020-003)",接続：ベージュテープ50mm幅　ぬれ検査頻度：1回/5本　原反10mmにEC加工　融着行き,"EC,融着",88.00,400,1,2,"フラップ逆転方式
32枚梱包
コロナ処理面を記載した用紙を同梱",,50103,トーレペフ Y(工材),1:対象外,0,0.00,88.00,,,,"22,845",0,88.00,259.60,A1OFBJGA1220ZB4,551,ペフ,50103,トーレペフ Y(工材),,,999999,対象外,,,000001,2製品,02,社外加工,30150-JG00-1010x220ZABK0Q,10mmにEC加工,枚,0:自社,,,,済,済,2026/07/29,2026/07/29,2026/07/30,2026/07/30,189554G,,6713,河合 直樹,02,Ｑ面,0:なし,0,0
